id,property_type,location,location_std,region,latitude,longitude,price,area_cent,area_sqft,price_per_cent,orientation,distance_to_sea,distance_to_nearest_beach_km,nearest_beach_name,distance_to_st_andrews_beach_km,distance_to_varkala_cliff_km,distance_to_city_center,distance_to_sea_note,beds,bathrooms,source_url,sea_dummy,source_host,sea_distance_band_fine
https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,plot,Vettuthura,vettuthura,North_of_Puthenthope,8.5865,76.8257,6500000.0,28.0,12196.8,232142.86,,0.96,0.96,Vettuthura Beach,3.34,20.69,16.57,approx_from_location_centroid,,,https://www.keralarealestate.com/details-57246-2-BHK-Independent-House-Villa-Bungalow-at-Thiruvananthapuram-corporation-Thiruvananthapuram,,keralarealestate.com,0.5-1 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,7000000.0,10.0,4356.0,700000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,10800000.0,36.0,15681.6,300000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,2755000.0,2.17,945.25,1269585.25,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,9800000.0,20.0,8712.0,490000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,12000000.0,60.0,26136.0,200000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,2500000.0,2.76,1202.26,905797.1,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,8200000.0,55.0,23958.0,149090.91,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Nadayara, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,7000000.0,48.97,21331.33,142944.66,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Nadayara, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,11200000.0,56.0,24393.6,200000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,84000000.0,70.0,30492.0,1200000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,70000000.0,100.0,43560.0,700000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
"Residential land / Plot in Varkala, Trivandrum",plot,Varkala,varkala,Varkala,8.7379,76.7163,9297000.0,10.33,4499.75,900000.0,,0.0,0.0,Varkala Cliff,24.0,0.0,36.65,approx_from_location_centroid,,,"Residential land / Plot in Varkala, Trivandrum",,,0-0.5 km
